filename,predicted_disease_label,predicted_body_location,predicted_caption,ground_truth_disease_label,ground_truth_body_location,ground_truth_caption
youtube/SVKBH_vJ5fA_frame_60409_1.jpg,no definitive diagnosis,arm,"The image shows a portion of an arm with mild erythema and faint, non-specific discoloration. There are no clearly defined lesions, such as vesicles, plaques, or nodules, that would allow for a specific dermatological diagnosis. The skin appears generally intact without obvious signs of acute inflammation, infection, or systemic rash.",libido racemosa,No body location information,"This image shows lichen planus, a skin disease characterized by breaks in the tight net-like pattern, resulting in large irregular rings, and is often asymmetrical, indicating impaired blood flow."
youtube/QGbWOPXpGqM_frame_34554_0_0.jpg,no definitive diagnosis,back and chest,"The image shows erythematous (red) macules and papules clustered on the upper back and chest area. The lesions appear to be confluent in some areas, with a somewhat symmetrical distribution. There is no clear evidence of scaling, vesicles, or ulceration. The surrounding skin appears unaffected.",allergic contact dermatitis,No body location information,"This image shows a close-up view of a skin disease characterized by red, itchy patches on the skin. The cause of this condition is an allergic reaction to certain irritants, and treatment options include avoiding the allergen and using over-the-counter creams to alleviate symptoms."
public/-6844673583459020552.png,no definitive diagnosis,face,"The image shows diffuse erythema on the cheek, with some areas appearing slightly raised and patchy. There is also a small, discrete red lesion near the corner of the mouth. The skin texture appears otherwise normal, and no distinct lesions such as vesicles, pustules, or scaling are visible. The findings are nonspecific and could represent a variety of conditions such as mild allergic reaction, contact dermatitis, or early inflammatory process.",rosacea,No body location information,"This is a close up clinical image The skin texture of this patient is elevated irregular. The patient's symptoms related to the appearance and sensation of the skin condition are bothersome appearance, itching, burning. The final diagnosis is rosacea.  The duration of the skin condition is less than one week."
IIYI/20385_2.png,no definitive diagnosis,back,"The image shows the back of an individual with multiple scattered skin lesions. These include small red papules or pustules, some darker pigmented macules or scars, and areas of hyperpigmentation. The distribution is widespread across the upper and mid-back. The lesions vary in size and color, suggesting possible chronic or recurrent dermatological conditions, but no single specific disease can be definitively identified from this image alone.",hidradenitis suppurativa,No body location information,"The user posted about having Hidradenitis Suppurativa (毛囊闭锁三联征), discussing primarily the symptoms observed under the armpits which are notably mild. From the discussion, the user and other participants did not provide detailed additional symptoms, potential disease diagnoses, or treatments. Only minimal interaction focused on learning from the posted information, and queries on how the treatment was approached by the poster remained unanswered."
edu/实用皮肤性病手册part1_00311_12159.png,no definitive diagnosis,chest,"The image shows diffuse erythema across the chest and upper abdomen, with visible hair follicles and no discrete lesions, plaques, or vesicles. The erythema is more pronounced in the central chest area and appears to be symmetrically distributed. No scaling, crusting, or ulceration is evident.",drug eruption,No body location information,Urticarial drug eruption
pubmed/78_bc_PMC8896184_IANN_A_2044511_F0010_C_2.png,no definitive diagnosis,toe,"The image shows a dark, discolored area on the toenail, possibly indicative of subungual hematoma or trauma, but no definitive diagnosis can be made without further clinical context.",onychomycosis,No body location information,"Clinical presentations of Beau’s lines, onychomadesis, and retronychia. Retronychia of the right great toenail."
public/dermoscopy-00--fusc2021--0247--2d-none.png,no definitive diagnosis,ankle,"A central necrotic area with a dark, eschar-like appearance surrounded by erythema and possible granulation tissue, suggestive of a wound or ulceration. The surrounding skin shows redness and inflammation, indicating an acute or chronic wound with possible infection or tissue breakdown.","foot ulcer, ulcer",foot,"The image is a close-up dermoscopy of a foot, specifically showing the heel area. The region of interest, located left-center horizontally and lower-middle vertically, with an area ratio of 2.3%, exhibits a foot ulcer with irregular edges, a heterogeneous texture, and a noticeable disruption in skin integrity. This ulceration could be related to other regions of the foot, potentially indicating compromised blood flow or diabetic neuropathy, which are common underlying conditions for foot ulcers. The ulcer's presence suggests a need for careful monitoring and management to prevent further complications such as infection or amputation."
youtube/EHy_53RfOtU_frame_1625_0_0.jpg,no definitive diagnosis,hand,"The image shows the fingers of a hand, with the middle finger exhibiting mild erythema and slight swelling at the proximal interphalangeal joint. The other fingers appear normal without visible lesions or abnormalities. The overall skin texture and nail appearance are unremarkable.",abscess,No body location information,"This image depicts an abscess, a skin disease characterized by a yellow-green color and severe tenderness, resulting from a collection of pus under the skin."
pubmed/7c_b9_PMC5707863_IDOJ_8_521_g002.png,no definitive diagnosis,arm,"The image shows two circumscribed areas on the arm. The larger lesion is a purpuric, bluish-purple macule with a slightly irregular border, possibly representing a recent bruise or hematoma. The smaller lesion is a faint red spot, possibly a minor abrasion or pinpoint hemorrhage. Both are circled with a pen for emphasis, but no definitive dermatological diagnosis can be made from this image alone.",autoimmune hemolytic anemia,forearm,Positive auto-erythrocyte sensitization test compared to control (normal saline) over the left forearm
youtube/qn2EHDqBHk0_frame_13218_2.jpg,no definitive diagnosis,eyelid,"The image shows a close-up of the eyelid with visible erythema, edema, and a small area of ulceration or erosion near the eyelid margin. There is also some crusting and possible exudate. The surrounding skin appears inflamed and irritated. The presence of eyelashes and the anatomical structure suggest this is the eyelid region, possibly near the lash line. The appearance is consistent with acute inflammation or trauma, but no specific dermatological diagnosis can be confirmed without further clinical context.",no definitive diagnosis,No body location information,This image shows a patient with eyelid and conjunctival lesions that disappeared after four months without any surgical intervention.
pubmed/2b_db_PMC7315058_MBSEH_52_119_g001_0.png,no definitive diagnosis,hand,"The image shows the palm of a hand with two small purple star-shaped markings on the skin, likely applied for reference or marking purposes. There are no visible skin lesions, rashes, or abnormalities that suggest a dermatological condition.",no definitive diagnosis,No body location information,Incision procedure
youtube/Rcom9v03f9g_frame_1238_0_0.jpg,no definitive diagnosis,,"The image displays a plated meal, not a skin condition. It includes slices of medium-rare cooked beef, a roasted yellow squash, green beans, a sprig of thyme, and a brown sauce on a white plate. There are no visible skin lesions or dermatological findings.","irritated seborrheic keratosis (from ""sk/isk"")",No body location information,"This image shows a close-up view of a skin disease characterized by red, inflamed patches on the skin, caused by an autoimmune disorder, and can be treated with topical steroids and immunosuppressive medications."
"note/Robert Johr, Wilhelm Stolz - Dermoscopy Criteria Review-McGraw-Hill Professional (2019)_00281_01568_0.png",no definitive diagnosis,,"The image shows a close-up of skin with fine, linear, superficial scratches or superficial abrasions, appearing as white or silvery lines on a pinkish background. There are no clear signs of a specific dermatological condition such as rash, scaling, or blistering. The appearance is consistent with superficial skin trauma or superficial epidermal damage, but no definitive diagnosis can be made without additional clinical context.",no definitive diagnosis,arm,Seen on the arm of a 49-year-old man.
IIYI/12237_2.png,no definitive diagnosis,abdomen,"The image shows multiple small, reddish macules scattered across the abdomen. The lesions are flat, slightly raised, and vary in size. There is no clear pattern or grouping, and no signs of exudation, scaling, or ulceration. The surrounding skin appears otherwise normal.",pityriasis rosea,oral,"The poster is discussing Pityriasis Rosea and seeking information about their treatment options. Pityriasis Rosea often presents without prominent mother patches on limbs. Treatment usually involves self-resolution within 6-8 weeks. Therapeutic options include UVB phototherapy every other day with progressively increasing dosages, oral administration of Compound Qingdai Pills, Histamine Blockers like Chlorpheniramine, Vitamin C, and Calcium Gluconate to alleviate allergic symptoms such as itching. Dietary restrictions on spicy foods and alcohol can significantly shorten the duration of the disease."
edu/Illustrated-Manual-of-Pediatric-Dermatology-Diagno...-批量 OCR_00110_07579.png,no definitive diagnosis,torso and upper arm,"The image shows diffuse erythema across the torso and upper arm, with a more pronounced reddish hue on the right side. There are scattered, faintly pigmented macules on the left side of the torso, which may represent post-inflammatory changes or a non-specific rash. The overall appearance suggests a generalized inflammatory or reactive process rather than a specific dermatological condition.",cellulitis,No body location information,Cellulitis - caused by Streptococcus with marked erythema.
IIYI/25760_2.png,no definitive diagnosis,hand,"The image shows the dorsal surface of a hand with multiple areas of erythema, scaling, and superficial erosion. There are whitish, flaky patches with some areas appearing crusted or fissured, particularly on the back of the hand and extending onto the fingers. One area has a small punctate hemorrhage or crust. The lesions appear localized and non-uniform in distribution, without clear borders. The surrounding skin appears relatively normal, and there are no visible signs of vesicles, bullae, or significant edema.","neurodermatitis, dermatitis",oral,"Female, 50 years old, with a medical history of over 20 years, presenting with slightly itchy rash and absence of the three typical signs of psoriasis (unspecified which signs). Discussion among users suggests possible diagnoses including neurodermatitis, chronic eczema, and psoriasis vulgaris. Additional considerations involved excluding lichen planus, particularly noting any oral lesions, and confirming diagnosis pathologically. A few users supported the diagnosis of psoriasis vulgaris, whereas the majority suggested neurodermatitis as a more likely diagnosis, noting the characteristic presence of skin flakes in some images indicating potential psoriasis."
public/ISIC_5562413.JPG,no definitive diagnosis,unknown,"A solitary, irregularly shaped, darkly pigmented lesion is visible on the skin. The lesion appears asymmetrical with uneven borders and varies in color from dark brown to black. It is surrounded by normal-appearing skin and a few fine hairs are present nearby. No other skin lesions or signs of inflammation are visible.",nevus,No body location information,This is a dermoscopic image captured on the anterior torso showing a benign skin lesion diagnosed as nevus.
pubmed/d9_75_PMC7490996_gr3.png,no definitive diagnosis,left shoulder,"A large, fungating mass is visible on the left shoulder, characterized by an irregular, ulcerated surface with areas of necrosis, exudate, and minimal bleeding. The lesion appears advanced and is likely a malignant tumor or severely infected surgical site, though the specific dermatological diagnosis cannot be determined from the image alone.",no definitive diagnosis,No body location information,First presentation image showing the fungating mass.
edu/Sauer - Manual of Skin Diseases-批量 OCR_00224_11642_0.jpg,no definitive diagnosis,limb,"The image shows a close-up of skin with diffuse erythema and superficial scaling, possibly indicating mild inflammation or dryness. There are no distinct lesions, such as vesicles, ulcers, or plaques, to suggest a specific dermatological condition.",ichthyosis,No body location information,Ichthyosis.
youtube/ZhQn7oXdsZs_frame_45517_0_0.jpg,no definitive diagnosis,buttocks and thighs,"The image shows diffuse erythema and hyperpigmentation on the buttocks and thighs, with areas of possible scaling or crusting. The pattern appears symmetrical and may suggest a chronic inflammatory or post-inflammatory condition, but without additional clinical context or diagnostic tools, no specific dermatological diagnosis can be confirmed.",allergic contact dermatitis,No body location information,"This image shows a close-up view of a skin disease characterized by red, itchy patches on the skin, likely caused by an allergic reaction to an irritant. Treatment options include avoiding the allergen, using over-the-counter creams, and seeing a dermatologist for prescription medication."
youtube/DSIkGCsikYU_frame_37665_11.jpg,no definitive diagnosis,foot,"The image shows a portion of a foot with normal-appearing skin. There are no clearly visible lesions, rashes, or abnormalities that can be definitively identified. The skin appears intact with natural folds and creases.",allergic contact dermatitis,No body location information,"This image shows a close-up view of a skin disease characterized by a red, raised, and itchy patch on the skin, likely caused by an allergic reaction or irritation. Treatment options include topical creams or ointments, avoiding irritants, and seeking medical advice."
IIYI/18372_2.png,no definitive diagnosis,,"The image is of very low resolution and shows indistinct, blurry brownish discolorations on a light skin background. There are no clearly defined borders or features to identify a specific dermatological condition.",nevus,temple,"The poster reported having a growth starting from the head and spreading to the temple area, first noticed around the age of 8 or 9 and has not spread for the last three decades, now in their thirties. The growth occasionally causes itching on the eyelid area. Medical consultations occurred about a decade ago leading to a diagnosis of flat warts by several doctors. Treatments with caustic lotion were attempted, which temporarily removed the warts, but they quickly regrew. The discussion in the forum led to a consensus among responders, who suggested that the condition described is likely verrucous nevus. No new symptoms or additional diagnostic insights were discussed beyond the initial description. No new treatments were suggested in the forum responses."
youtube/IGc9CwT3jPw_frame_14160_1.jpg,no definitive diagnosis,oral cavity,"The image shows the interior of the oral cavity, with visible mucosal tissue. There are areas of erythema (redness) and some whitish patches or plaques, which may suggest mucosal irritation, candidiasis, or other oral mucosal conditions. However, without additional clinical context or diagnostic tools, no definitive diagnosis can be made.",paraneoplastic pemphigus,oral,"This image describes paraneoplastic pemphigus, a skin disease characterized by antibodies against plakins, affecting both males and females equally, and commonly associated with non-Hodgkin lymphoma. Oral manifestations may include ulcerations, erosions, urticarial lesions, bullous eruptions resembling erythema multiforme, itching, and crusting."
"note/Robert Johr, Wilhelm Stolz - Dermoscopy- An Illustrate_00348_17052_0.png",no definitive diagnosis,unknown,"The image shows a small, dark brown, roughly oval lesion on the skin. A ruler is placed below the lesion for scale, indicating it is approximately 4 mm in diameter. The surrounding skin appears normal with visible hair follicles. No other skin lesions or abnormalities are visible. The lesion does not appear to have a clear clinical pattern suggestive of a specific dermatological condition without further clinical context.",no definitive diagnosis,No body location information,"Nevus, seborrheic keratosis, basal cell carcinoma, vascular lesions, dermatofibroma, squamous cell carcinoma, melanoma, other."
youtube/qn2EHDqBHk0_frame_13191_0.jpg,no definitive diagnosis,face,"The image shows a close-up of a face with significant skin abnormalities, including a central lesion on the nasal bridge that appears ulcerated, crusted, and possibly necrotic. There are also multiple small, raised nodules or vesicles near the lesion. The surrounding skin is discolored, rough, and appears to have hyperpigmentation or scarring. The overall appearance suggests a chronic, possibly infectious or inflammatory process, but no specific dermatological diagnosis can be confirmed without further clinical context.",no definitive diagnosis,No body location information,This image shows a patient with eyelid and conjunctival lesions that disappeared after four months without any surgical intervention.
youtube/J9sVNh8KUAU_frame_55281_0_0.jpg,no definitive diagnosis,eyelid,"The image shows the closed eyelid with visible eyelashes and surrounding skin. There is a glossy, moist appearance on the skin, possibly due to moisture or a topical agent. No distinct lesions, rashes, or abnormalities are clearly visible to indicate a specific dermatological condition.",mucormycosis,No body location information,"This image discusses mucormycosis, a rapidly progressive fungal infection that can involve the skin, GI tract, lungs, and other organs. The most common clinical presentation is rhino-orbital cerebral mucormycosis (ROCM), which can range from a localized infection to a full-body disease with involvement of the central nervous system."
IIYI/19461_4.png,no definitive diagnosis,,,"eczema, lichen planus, nail disease",nails,"An 8-year-old male patient is experiencing nail malnutrition (甲营养不良). Routine blood tests, trace elements, and fungal tests on nails have all returned normal results. There was a discussion among forum users about the diagnosis and treatment of the patient's condition. It was mentioned that nail malnutrition can be difficult to diagnose and treat, and suggested treatments were largely limited to supplementing trace elements. Different diagnoses such as nail eczema or lichen planus were considered, though the exact diagnosis remained unclear. There were mentions of conditions including nail thickening and irregularities accompanied by redness around the nails. A suggestion was made to conduct a pathological examination to better identify the condition, possibly leaning towards the diagnosis of nail lichen planus."
note/Sewon-Kang-Fitzpatrick’s-Dermatology[2-Volume Set]-McGraw-Hil-Education(2019)-part6_00276_01143_0.png,no definitive diagnosis,Scrotum and perineum,"The image shows the scrotum and perineal area with dense pubic hair. There is a small, slightly erythematous, and possibly slightly raised lesion visible on the scrotal skin near the base of the penis. The surrounding skin appears normal with no clear signs of widespread inflammation, ulceration, or other distinct dermatological pathology. No definitive diagnosis can be made based on this image alone.",erythrasma,groin,Erythrasma Welldemarcated reddishbrown patches in the axilla and groin The potassium hydroxide preparations were negative  Woods lamp examination showed a bright coral red fluorescence
youtube/p5-sNkNQHUY_frame_29037_0.jpg,no definitive diagnosis,,"The image shows a diffuse, reddish, slightly irregular area on the skin, but lacks sufficient detail to confidently identify a specific dermatological condition.",allergic contact dermatitis,arm,"This image depicts a person with a skin disease characterized by a red, itchy rash on their arm. The cause of the rash is an allergic reaction to a particular substance, and the treatment involves avoiding the allergen and using over-the-counter creams to relieve the symptoms."
pubmed/71_7f_PMC4149335_cia_9_1409Fig1_1.png,no definitive diagnosis,oral cavity,"The image shows the oral cavity, including teeth and soft tissues. There is a visible lesion on the buccal mucosa near the gingiva, appearing as a reddish, slightly raised area with some surface irregularity. The surrounding mucosa appears inflamed or irritated. No definitive dermatological diagnosis can be made without further clinical context or diagnostic tests.",cellulitis,No body location information,Abscess of the mandible affecting the extraction area. The pus is leaking from the empty alveolus. The infection and swelling extend to the second molar.
youtube/jdaN189qAVU_frame_1394_0_0.jpg,no definitive diagnosis,lower leg and ankle,"The image shows a significant open wound on the lower leg, near the ankle. The wound appears to be a deep laceration or abrasion with visible tissue damage, redness, and some necrotic or eschar-like material. Surrounding erythema and bruising are present, suggesting recent trauma or infection. The area is covered with a white dressing, and the foot is visible below the injury.","irritated seborrheic keratosis (from ""sk/isk"")",No body location information,"This image shows a close-up view of a skin disease characterized by red, inflamed patches on the skin. The cause of this condition is an overactive immune response, and treatment options include topical steroids and immunosuppressive medications."
pubmed/bd_c1_PMC8884525_gox-10-e4001-g004_0.jpg,no definitive diagnosis,"lower leg, ankle",The image shows an open wound on the lateral aspect of the ankle with visible tissue damage and a surgical incision marked with ink. There is no clear dermatological lesion or skin disease visible; the appearance is consistent with a surgical site or trauma.,local infection of wound,No body location information,Nonhealing wound on posterolateral heel with exposed Achilles tendon and calcaneum wound after debridement.
youtube/283tIZpT1nA_frame_4307_0.jpg,no definitive diagnosis,,"The image shows a close-up of skin with a text overlay indicating 'ill defined perilesional pigmentary network' and notes that it 'can be lines reticular or brown circles'. The visual quality is low, and no clear lesion or diagnostic feature is discernible beyond the text annotation.",melanoma,No body location information,"This image shows a black structureless skin lesion, which could be a sign of a skin disease such as melanoma. The exact cause and treatment options depend on the specific type of skin disease."
youtube/1OuTdRRFqd0_frame_12623_0_0.jpg,no definitive diagnosis,unknown,"A small, dark red spot is visible on the skin, with a tool (possibly a scalpel or similar instrument) positioned nearby. The surrounding skin appears normal with visible pores. No clear dermatological lesion or disease can be definitively identified from this image alone.",no definitive diagnosis,oral,"This image depicts a skin disease characterized by extreme discomfort, with a red and inflamed appearance. The cause of the disease is not clear, but it may be related to an allergic reaction or an infection. Treatment options include topical creams or ointments, oral medications, and in some cases, corticosteroids or immunosuppressants."
youtube/7RWVilxv6r8_frame_14966_0_0.jpg,no definitive diagnosis,,"The image shows a close-up of skin with a granular, rough texture and a mix of light brown and beige tones. There are no distinct lesions, plaques, or other dermatological features visible that would allow for a specific diagnosis.",lymphoma,No body location information,"This image depicts lymphoma, a type of cancer that affects the lymphatic system, characterized by the presence of abnormal, cancerous cells in the lymph nodes, spleen, or other organs. The exact cause of lymphoma is unknown, but it is thought to be related to a combination of genetic and environmental factors. Treatment options for lymphoma include chemotherapy, radiation therapy, and bone marrow transplantation, among others."
public/lentigo-adults-42.jpg,no definitive diagnosis,,"The image shows a close-up of reddish, slightly textured skin with a moist or shiny appearance, possibly indicating irritation or inflammation. There are no distinct lesions, plaques, or patterns that allow for a specific dermatological diagnosis.","irritated seborrheic keratosis (from ""sk/isk"")",No body location information,"This is a clinical skin image, diagnosed as light diseases and disorders of pigmentation."
youtube/NQXKZcaxkaE_frame_35901_0_0.jpg,no definitive diagnosis,face,"The image shows the face, particularly the eyes and surrounding area. There is a visible red mark on the forehead and some discoloration around the left eye, which appears to have a protruding lesion or swelling. The right eye appears normal. The presence of blue gloves and a mask suggests a clinical setting, but no clear dermatological lesion is identifiable without further context.",choroidal swelling,No body location information,"This image shows a wide field fundus photography of a patient with choroidal swelling, which is caused by pressure on the sclera and choroid, resulting in swelling beneath the choroid and reflected in the fundus examination."
IIYI/1135_3.png,no definitive diagnosis,,"The image displays a computer screen showing a medical record or laboratory report, not a skin lesion or dermatological condition. There are no visible skin findings.",cellulitis,"leg, foot","An 80-year-old female presents with reddish, swollen, warm, and painful right lower leg persisting for 4 days. The symptoms started shortly after she scratched her leg due to 'athlete's foot' and rapidly progressed to involve the entire limb. She experienced fever with a highest recorded temperature of 38.1°C and has not received any treatment prior to hospital visit. During forum discussion, diagnosis of erysipelas, a type of lymphatic infection caused by a skin fungal infection from athlete's foot, was considered. The agreed treatment was bed rest, elevation of the affected limb, and administration of penicillin. Additionally, some suggestions included using traditional Chinese medicine formulations like Si Miao Yong An Tang featuring ingredients such as honeysuckle, scrophularia, licorice, and angelica."
youtube/Rwvw8xmMVP4_frame_8653_0_0.jpg,no definitive diagnosis,lower leg and foot,"The image shows a lower leg and foot wrapped in a thick, multi-layered bandage. The bandage appears to be securing an injury or surgical site, with visible creases and folds. No specific skin lesions, rashes, or dermatological abnormalities are discernible through the bandage. The surrounding skin appears intact but is not clearly visible due to the covering.",psoriasis,No body location information,"This image shows a close-up view of a skin disease characterized by red, itchy patches on the skin. The cause of this condition is an overproduction of skin cells, which can be treated with topical creams and ointments to reduce inflammation and itching."
public/drug-eruptions-74.jpg,no definitive diagnosis,chest and abdomen,"The image shows diffuse erythema and scattered small papules or macules over the chest, abdomen, and upper torso. The skin appears generally erythematous with a mottled appearance, particularly on the chest and abdomen. There are no discrete lesions or patterns that suggest a specific dermatological diagnosis. The distribution is widespread and non-specific.",drug eruption,No body location information,"This is a clinical skin image, diagnosed as exanthems and drug eruptions."
IIYI/28145_5.png,no definitive diagnosis,abdomen,"The image shows multiple erythematous, raised lesions scattered across the abdomen, including around the umbilicus. The lesions vary in size and appear to be inflammatory. There is also visible skin thickening and discoloration on the left forearm, suggesting chronic skin changes. The overall presentation is suggestive of a chronic inflammatory or dermatological condition, but without additional clinical context or diagnostic criteria, no specific diagnosis can be confirmed.","chronic actinic dermatitis, dermatitis","neck, hand, oral","A 63-year-old male complains of generalized itching, with hand backs and neck skin lesions that have persisted for more than ten years and lesions on the trunk and limbs' extensor surfaces for around six months. The primary condition discussed is Chronic Actinic Dermatitis (CAD). Other diagnoses considered are chronic eczema, generalized eczema, disseminated neurodermatitis, and the potential for Mycosis Fungoides (MF) being ruled out through pathology. Treatment suggestions include a regimen of Methimazole, Chlorpheniramine, Vitamin C, Compound Danshen Tablets, Vitamin B1, with specific dosages and treatment courses noted, including injections and topical applications. The possibility of chronic widespread neurodermatitis or chronic eczema along with treatments involving Methimazole, Chlorpheniramine, Vitamin C, Compound Danshen, and Vitamin B1 oral pills, and sulfur ointment applications for itching is also discussed."
"edu/Electra Nicolaidou, Clio Dessinioti, Andreas Katsambas - Hypopigmentation. 1-CRC Press (2019)_00173_00668.png",no definitive diagnosis,face,"The image shows the face of an individual with visible signs of aging and sun damage, including wrinkles, fine lines, and hyperpigmented spots, particularly around the eyes and forehead. There are no discrete, well-defined lesions that suggest a specific dermatological condition.",xeroderma pigmentosum,No body location information,"Preparations containing mercury are still available in many developing countries, and their contents are poorly controlled. Peregrino et al. analyzed whitening products."
IIYI/5381_1.png,no definitive diagnosis,hand,"The image shows the dorsal surface of a hand with diffuse scaling and mild erythema. There are areas of thickened, flaky skin, particularly over the knuckles and proximal interphalangeal joints. The texture appears rough and dry, with some superficial fissuring. No discrete lesions such as vesicles, pustules, or plaques are clearly identifiable. The findings are consistent with chronic xerosis or mild eczematous changes, but no specific dermatosis can be confirmed without additional clinical context.","contact dermatitis, drug eruption, dermatitis","lips, back, hand","The poster reported sudden itching on the back of the hand with the appearance of blisters one day later. The itching was specific to the affected area and not painful. Additionally, there was a green pea-sized itchy spot on the lip, which was not painful, swollen, or red. No other discomforts were mentioned. Further discussions among forum users suggested the possibility of contact dermatitis or drug eruption. Users advised considering the history of the condition and closely examining for any potential triggers that might have been unnoticed by the poster. Potential diagnoses discussed included contact dermatitis and drug-induced dermatitis, with recommendations for a detailed examination of the patient's medical history and symptomatic treatment."
youtube/Pi20y_f-dfY_frame_49685_0_0.jpg,no definitive diagnosis,unknown,"The image shows a close-up view of a surgical or procedural site with instruments in use. There is visible tissue manipulation, possible excision or biopsy, and some bleeding. The surrounding skin appears dark and textured, but no specific dermatological lesion or disease can be definitively identified from this context.",allergic contact dermatitis,No body location information,"This image shows a close-up view of a skin disease characterized by red, itchy patches on the skin. The cause of this condition is an allergic reaction to certain substances, and treatment options include avoiding the allergen and using over-the-counter creams to relieve symptoms."
